z	dL [Mpc]	sigma_dL [Mpc] (CF approx)	sigma_dL [Mpc] (CF approx, gaussian prior)	sigma_dL [Mpc]=2dL/SNR	SNR_GW
0.32181863818621137	1683.52040575723208	134.603784708982261	96.4529489850054205	105.3796720750856282	31.9515210591599121
0.1819894278414802	882.196103106463738	42.4700793847245279	39.323503372764975	65.0206257126031728	27.1358847577335638
0.24305117995562231	1220.17614851923577	141.206880407580201	111.54224563231368	123.665503453963067	19.7334925980141342
0.133287629840438626	626.960951048808511	21.203684587874875	19.7472927107418812	64.1334560008438752	19.5517594137000472
0.298745640640770027	1544.75330390105228	191.917755883095452	148.822017411452919	195.202150902163823	15.8272160092671257
0.150388320429620137	715.07883764338817	33.8555578610720858	32.3914773270748029	107.5448064878632214	13.2982495574825759
0.41471097171983784	2265.95048087519308	273.350441951745779	209.356199886640155	260.322477992835233	17.4087961849960422
0.204193969919562068	1002.85169288621512	127.868094311148042	91.7801517343157229	83.208302672440971	24.1046064077056314
0.247541202867970878	1245.78210040617046	62.103662909987257	59.2752976577856216	169.571517853277578	14.6932942062131957
0.305530806737421834	1585.30621095428342	204.002477115196427	115.069509714436421	140.957558404116177	22.4933835248382117
0.271729526148980494	1385.43626553610034	168.106458153504604	129.14299721449143	134.638305621312409	20.5801203326610249
0.410613067596191872	2239.49123114120721	431.556406557965488	228.621384604682703	273.033928520958137	16.4044904109366278
0.321645167545823618	1682.46800728126823	191.249683924748439	151.355565794676039	168.994464501744917	19.9115161818083841
0.298471764169851994	1543.12092814237849	371.631522461630254	165.652248944619316	225.214326295459149	13.7035769750984215
0.314494651824761995	1639.20699176974449	290.296922224371485	147.657163468675577	169.682916444978573	19.3208252912281146
0.293145345457900053	1511.44389136504742	145.435150012253786	112.584156253126452	199.097075075526246	15.1829843888132512
0.292888390215881422	1509.91910490747841	97.3718281362947522	89.8696501781061556	194.354338877485934	15.537796723532658
0.159795824477293458	764.254273321244682	152.77143306252006	94.471857308211483	79.7401600301755717	19.1686164921673772
0.18082069633274811	875.91838774280518	124.991733547891329	83.6375828195580198	80.7035046415142177	21.707071870884505
0.362602280285039047	1934.6700336257386	261.037569635006776	183.14563825391798	184.292475796683952	20.9956486314733191
0.130461001271497956	612.555523252328726	59.2721411559232791	46.0341364208600581	42.6338829791483942	28.735619673766081
0.297907117188069392	1539.75658972380529	177.985345870210381	117.042162693287779	175.863702505700969	17.5107946413659867
0.284989408536147515	1463.19811690201095	203.198348779248846	141.264585415790492	149.137377094253287	19.6221516753279737
0.122367237162650522	571.560657196410944	86.0530041578456917	46.6753712422415319	46.4039274368687147	24.6341501147291346
0.288601678074858814	1484.52740699922151	124.665227772870153	102.706604620656606	177.067089470253372	16.7679653112343807
0.322309821520021078	1686.50102000840889	135.53888654280766	112.164775027809981	198.847738764574029	16.9627377257243381
0.262761540470676014	1333.3244466307408	170.572747392326249	118.452747002199686	88.8156096598458605	30.0245520294738419
0.187862091878988391	913.851664154302284	63.7197594114851214	49.9147948319606698	37.3442633615693088	48.942010466578914
0.124929022820982727	584.495289484269278	49.8813257660616784	37.165317218592854	26.1100043083546059	44.7717497539626308
